Constituency No.,Constituency Name,Candidate Name,Candidate Sex,Candidate Age,Candidate Category, Party Name, VALID VOTES POLLED in General, VALID VOTES POLLED in Postal, Total Valid Votes,Total Electors,Total Votes
49,Jolarpet,THENMOZHI.A,F,34,GEN,NTK,866,2,868,223488,181084
49,Jolarpet,LATHA.M,F,41,SC,BSP,700,0,700,223488,181084
49,Jolarpet,VEERAMANI.P,M,43,GEN,IND,236,0,236,223488,181084
49,Jolarpet,SATHISH.C,M,30,GEN,IND,198,0,198,223488,181084
49,Jolarpet,VEERAMANI.M.S.,M,50,GEN,IND,158,0,158,223488,181084
49,Jolarpet,SIVAKUMAR.V.C.,M,41,SC,IND,112,0,112,223488,181084
50,Tirupattur,NALLATHAMBI. A,M,40,GEN,DMK,79760,1031,80791,224938,177843
50,Tirupattur,KUMAR.T.T,M,38,GEN,ADMK,72828,316,73144,224938,177843
50,Tirupattur,RAJA.T.K,M,50,GEN,PMK,12165,62,12227,224938,177843
50,Tirupattur,HARIKRISHNAN.K,M,41,GEN,DMDK,3959,9,3968,224938,177843
50,Tirupattur,GOVINDARAJAN. V,M,53,GEN,BJP,1827,4,1831,224938,177843
50,Tirupattur,None of the Above,,,,NOTA,1190,3,1193,224938,177843
50,Tirupattur,RAJA.T,M,48,SC,IND,1051,0,1051,224938,177843
50,Tirupattur,RAJA.K,M,52,GEN,IND,789,0,789,224938,177843
50,Tirupattur,VIJAYAN.E,M,38,GEN,NTK,690,1,691,224938,177843
50,Tirupattur,NEELAVENI. P,F,51,SC,BSP,574,0,574,224938,177843
50,Tirupattur,VANKATESAN. M,M,39,GEN,KMDK,280,1,281,224938,177843
50,Tirupattur,PALANI.M,M,42,GEN,IND,271,0,271,224938,177843
50,Tirupattur,RAMESH.T.P,M,53,GEN,IND,230,0,230,224938,177843
50,Tirupattur,SAMUELBAKYARAJ.A,M,37,GEN,PPIS,202,1,203,224938,177843
50,Tirupattur,KUMAR.T,M,43,GEN,IND,166,0,166,224938,177843
50,Tirupattur,KUMAR.N,M,40,SC,IND,162,0,162,224938,177843
50,Tirupattur,SAKTHI.V,M,54,GEN,VBMP,158,1,159,224938,177843
50,Tirupattur,SANKAR. S,M,44,SC,UCPI,112,0,112,224938,177843
51,Uthangarai,N.MANORANJITHAM,F,41,SC,ADMK,69776,204,69980,218671,180616
51,Uthangarai,S.MALATHY,F,42,SC,DMK,66578,789,67367,218671,180616
51,Uthangarai,T.N.ANGUTHI,M,61,SC,PMK,23368,132,23500,218671,180616
51,Uthangarai,C.KANIYAMUDHAN,M,50,SC,VCK,12535,134,12669,218671,180616
51,Uthangarai,None of the Above,,,,NOTA,1713,4,1717,218671,180616
51,Uthangarai,S A PANDU,M,64,SC,BJP,1585,6,1591,218671,180616
51,Uthangarai,V. THEERTHAGIRI,M,43,SC,KMDK,1259,7,1266,218671,180616
51,Uthangarai,VENKATESAN T,M,39,SC,NTK,726,2,728,218671,180616
51,Uthangarai,THEERTHAGIRI A,M,44,SC,IND,576,2,578,218671,180616
51,Uthangarai,K.BALAMUTHU,M,36,SC,IND,546,1,547,218671,180616
51,Uthangarai,C.HAMSA,F,32,SC,NCP,481,0,481,218671,180616
51,Uthangarai,THEERTHAGIRI A,M,59,SC,RPI(A),191,1,192,218671,180616
52,Bargur,V.RAJENDRAN,M,60,GEN,ADMK,80165,485,80650,228893,188056
52,Bargur,GOVINDDARASAN.E.C,M,46,GEN,DMK,78693,975,79668,228893,188056
52,Bargur,A.KUMAR,M,34,GEN,PMK,18261,146,18407,228893,188056
52,Bargur,R.RAJENDRAN,M,54,GEN,TMC(M),2931,17,2948,228893,188056
52,Bargur,None of the Above,,,,NOTA,1364,18,1382,228893,188056
52,Bargur,R.MANIVANNAN,M,44,GEN,BJP,1268,5,1273,228893,188056
52,Bargur,N.ANANTHI,F,36,SC,NCP,876,0,876,228893,188056
52,Bargur,P.ESWARAN,M,35,GEN,NTK,680,5,685,228893,188056
52,Bargur,SUGUMAR,M,25,SC,IND,568,0,568,228893,188056
52,Bargur,RAMESH.D,M,35,GEN,IND,450,0,450,228893,188056
52,Bargur,C.ANBALAGAN,M,29,GEN,IND,391,4,395,228893,188056
52,Bargur,C.GOVINDARASU,M,42,GEN,IND,252,0,252,228893,188056
52,Bargur,C.S.SARDHAR,M,49,GEN,PTK,143,0,143,228893,188056
52,Bargur,G.K.MUNIRAJ,M,33,GEN,UMK,128,0,128,228893,188056
52,Bargur,K.THIRUVENKADAM,M,36,GEN,KMDK,118,0,118,228893,188056
52,Bargur,R.THANIGAI,M,34,GEN,YSP,113,0,113,228893,188056
53,Krishnagiri,T.SENGUTTUVAN,M,63,GEN,DMK,86221,1416,87637,248873,200092
53,Krishnagiri,V.GOVINDARAJ,M,56,GEN,ADMK,81838,908,82746,248873,200092
53,Krishnagiri,S.KUMAR,M,42,GEN,PMK,15574,162,15736,248873,200092
53,Krishnagiri,R.JAYAPRAKASH,M,55,GEN,TMC(M),4163,36,4199,248873,200092
53,Krishnagiri,None of the Above,,,,NOTA,1843,12,1855,248873,200092
53,Krishnagiri,MANAGER,M,60,GEN,IND,1195,0,1195,248873,200092
53,Krishnagiri,K.M.CHANDRAMOHAN,M,46,GEN,NCP,1151,0,1151,248873,200092
53,Krishnagiri,G.LATHA,F,52,SC,IND,1082,0,1082,248873,200092
53,Krishnagiri,PONN.PARTHIBAN,M,27,GEN,NTK,977,9,986,248873,200092
53,Krishnagiri,ARUNGOWTHAM,M,44,GEN,IJK,885,1,886,248873,200092
53,Krishnagiri,K.VELU,M,34,GEN,IND,663,0,663,248873,200092
53,Krishnagiri,M.K.SIVARAJ,M,28,GEN,IND,415,0,415,248873,200092
53,Krishnagiri,P.PANDIAN@PANDIA PRABHU,M,32,GEN,IND,291,0,291,248873,200092
53,Krishnagiri,T.V.S.GANDHI,M,44,GEN,IND,257,1,258,248873,200092
53,Krishnagiri,K.VADIVEL,M,56,GEN,IND,198,0,198,248873,200092
53,Krishnagiri,K.C.VENKATESH,M,41,GEN,UCPI,194,0,194,248873,200092
53,Krishnagiri,B.MUBARAK,M,39,GEN,AIMIM,172,0,172,248873,200092
53,Krishnagiri,G.VAJRAVEL,M,36,GEN,KMDK,167,0,167,248873,200092
53,Krishnagiri,K.SANKAR,M,42,GEN,UMK,158,0,158,248873,200092
53,Krishnagiri,K.N.SIGAMANI,M,51,GEN,PTK,103,0,103,248873,200092
54,Veppanahalli,MURUGAN P,M,46,GEN,DMK,88449,503,88952,228145,193325
54,Veppanahalli,MADHU A.V.M @ HEMNATH M,M,41,GEN,ADMK,83468,256,83724,228145,193325
54,Veppanahalli,TAMIL SELVI M,F,30,GEN,PMK,5439,37,5476,228145,193325
54,Veppanahalli,NAGARAJ N,M,41,GEN,DMDK,4651,5,4656,228145,193325
54,Veppanahalli,PREMANATHAN V S,M,57,GEN,BJP,1964,2,1966,228145,193325
54,Veppanahalli,None of the Above,,,,NOTA,1474,8,1482,228145,193325
54,Veppanahalli,ABBAS ALI S B,M,64,GEN,FDLP,1373,0,1373,228145,193325
54,Veppanahalli,RAMASAMY GC,M,64,GEN,IND,893,0,893,228145,193325
54,Veppanahalli,GOVINDARAJ R,M,39,GEN,IND,704,0,704,228145,193325
54,Veppanahalli,SUJATHA K,F,39,GEN,NCP,653,0,653,228145,193325
54,Veppanahalli,ILANTHAMIZAN,M,25,SC,NTK,585,3,588,228145,193325
54,Veppanahalli,SHANMUGAM L,M,53,GEN,IND,553,0,553,228145,193325
54,Veppanahalli,SUDHAKAR N,M,40,GEN,IND,394,0,394,228145,193325
54,Veppanahalli,SADANAPALLIYAPPA,M,41,GEN,IND,391,0,391,228145,193325
54,Veppanahalli,VADIVEL P,M,31,GEN,IND,352,0,352,228145,193325
54,Veppanahalli,VIRGINIA BERNADINE FRANCIS,F,44,GEN,IND,313,0,313,228145,193325
54,Veppanahalli,"SURYAPRAKASH, C.L.",M,54,GEN,RPSN,307,0,307,228145,193325
54,Veppanahalli,KRISHNAPPA @ KRISHNAN,M,56,GEN,KMDK,291,0,291,228145,193325
54,Veppanahalli,SANKAR K,M,31,GEN,UCPI,257,0,257,228145,193325
55,Hosur,BALAKRISHNA REDDY P,M,47,GEN,ADMK,89228,282,89510,302410,215231
55,Hosur,GOPINATH K,M,53,GEN,INC,65672,874,66546,302410,215231
55,Hosur,BALAKRISHNAN  G,M,59,GEN,BJP,28726,124,28850,302410,215231
55,Hosur,MUNIRAJ P,M,46,GEN,PMK,10259,50,10309,302410,215231
55,Hosur,CHANDRAN V,M,52,GEN,DMDK,7739,41,7780,302410,215231
55,Hosur,None of the Above,,,,NOTA,3430,15,3445,302410,215231
55,Hosur,ALEX ESTHER,F,30,GEN,NTK,3012,9,3021,302410,215231
55,Hosur,SHANAWASKHAN N,M,38,GEN,SDPI,1132,2,1134,302410,215231
55,Hosur,DEVAPPA Y,M,50,GEN,IND,741,0,741,302410,215231
55,Hosur,PATTABHIRAMA C,M,41,SC,IND,737,0,737,302410,215231
55,Hosur,CHAN BASHA M,M,50,GEN,BSP,465,0,465,302410,215231
55,Hosur,VELUCHAMY  R,M,48,GEN,KMDK,423,1,424,302410,215231
55,Hosur,SONAPPA SM,M,35,GEN,UCPI,353,1,354,302410,215231
55,Hosur,SATHYA NARAYANA MOORTHY K,M,52,GEN,IND,328,0,328,302410,215231
55,Hosur,SEKAR P,M,44,GEN,GMI,292,1,293,302410,215231
55,Hosur,GOPINATH K,M,30,GEN,IND,274,0,274,302410,215231
55,Hosur,JAGADISWARA REDDY,M,54,GEN,IND,265,0,265,302410,215231
55,Hosur,AYUB JOHN S M,M,28,GEN,IND,223,0,223,302410,215231
55,Hosur,MANJUNATH V,M,32,SC,IND,201,0,201,302410,215231
55,Hosur,GOPINATH K,M,30,GEN,IND,182,0,182,302410,215231
55,Hosur,BALARAJU N,M,42,GEN,IND,149,0,149,302410,215231
56,Thalli,"PRAKAASH,Y.",M,51,GEN,DMK,74048,381,74429,229749,189350
56,Thalli,"RAMACHANDRAN,T.",M,48,GEN,CPI,68083,101,68184,229749,189350
56,Thalli,"NAGESH,C.",M,53,GEN,ADMK,31367,48,31415,229749,189350
56,Thalli,"ARUNRAJAN,D.",M,39,GEN,PMK,5240,13,5253,229749,189350
56,Thalli,"RAMACHANDRAN,B.",M,48,GEN,BJP,2903,5,2908,229749,189350
56,Thalli,None of the Above,,,,NOTA,2450,0,2450,229749,189350
56,Thalli,"HARI,V.",M,38,GEN,IND,1716,6,1722,229749,189350
56,Thalli,"ROSELIN,R.",F,42,GEN,NCP,958,0,958,229749,189350
56,Thalli,PANDU,M,52,GEN,UCPI,703,1,704,229749,189350
56,Thalli,ABUBEKAR,M,30,GEN,IND,485,0,485,229749,189350
56,Thalli,"TAMILSELVAN,S.",M,28,GEN,NTK,433,0,433,229749,189350
56,Thalli,VINDHAI VENDHAN,M,68,GEN,IND,409,0,409,229749,189350
57,Palacode,ANBALAGAN. K.P.,M,57,GEN,ADMK,75918,225,76143,213136,188767
57,Palacode,MURUGAN. P.K.,M,48,GEN,DMK,69661,499,70160,213136,188767
57,Palacode,MANNAN. K.,M,58,GEN,PMK,31480,132,31612,213136,188767
57,Palacode,KAVERIVARMAN. K.G.,M,50,GEN,DMDK,4899,16,4915,213136,188767
57,Palacode,None of the Above,,,,NOTA,1876,4,1880,213136,188767
57,Palacode,CHANDRASEKARAN. G.,M,36,GEN,YSP,536,0,536,213136,188767
57,Palacode,VENKATESAN. S.,M,26,GEN,NTK,502,1,503,213136,188767
57,Palacode,NANJAPPAN. P.,M,39,GEN,IJK,462,1,463,213136,188767
57,Palacode,GOVINDARAJAN. S.,M,30,ST,IND,430,0,430,213136,188767
57,Palacode,SIVAKUMAR. S.,M,37,GEN,TMK,397,0,397,213136,188767
57,Palacode,PERUMAL. P.,M,60,SC,BSP,337,0,337,213136,188767
57,Palacode,KRISHNAMOORTHY. P.,M,29,GEN,IND,334,0,334,213136,188767
57,Palacode,MURUGAN. K.G.,M,39,GEN,IND,325,0,325,213136,188767
57,Palacode,PACHIYAPPAN. M.,M,50,GEN,IND,302,0,302,213136,188767
57,Palacode,SIVAKUMAR. T.,M,39,GEN,KMDK,257,0,257,213136,188767
57,Palacode,ANBALAGAN. E.,M,41,SC,IND,173,0,173,213136,188767
58,Pennagaram,INBASEKARAN. P.N.P.,M,32,GEN,DMK,76226,622,76848,226746,199635
58,Pennagaram,ANBUMANI RAMADOSS,M,47,GEN,PMK,57975,427,58402,226746,199635
58,Pennagaram,MUNUSAMY K.P,M,63,GEN,ADMK,51495,192,51687,226746,199635
58,Pennagaram,NANJAPPAN. N.,M,66,GEN,CPI,5600,24,5624,226746,199635
58,Pennagaram,None of the Above,,,,NOTA,2077,4,2081,226746,199635
58,Pennagaram,MUNIAPPAN. A,M,36,GEN,IND,716,0,716,226746,199635
58,Pennagaram,SIVAKUMAR. G,M,33,GEN,NTK,676,12,688,226746,199635
58,Pennagaram,MURUGESAN. M,M,40,GEN,IND,688,0,688,226746,199635
58,Pennagaram,POTHURASU. N,M,37,GEN,IND,640,0,640,226746,199635
58,Pennagaram,DHANAPAL. G,M,36,GEN,IND,555,0,555,226746,199635
58,Pennagaram,MALLIGA. M,F,38,GEN,BSP,473,0,473,226746,199635
58,Pennagaram,VENKATESAN. P. C,M,37,GEN,IND,336,0,336,226746,199635
58,Pennagaram,AGNI SRIRAMACHANDRAN,M,35,GEN,IND,300,0,300,226746,199635
58,Pennagaram,SIVALINGAM. P,M,33,GEN,IND,222,0,222,226746,199635
58,Pennagaram,JAIKUMAR. K,M,39,GEN,JD(S),191,2,193,226746,199635
58,Pennagaram,SINGARAVELU. K,M,52,GEN,IND,182,0,182,226746,199635
59,Dharmapuri,SUBRAMANI. P.,M,58,GEN,DMK,69466,1590,71056,252311,207476
59,Dharmapuri,ELANGOVAN. P.D.,M,61,GEN,ADMK,61074,306,61380,252311,207476
59,Dharmapuri,SENTHIL. R. DR.,M,53,GEN,PMK,55946,781,56727,252311,207476
59,Dharmapuri,ELANGOVAN. V. DR.,M,65,GEN,DMDK,9271,77,9348,252311,207476
59,Dharmapuri,None of the Above,,,,NOTA,2232,19,2251,252311,207476
59,Dharmapuri,ARUMUGAM. M.,M,41,GEN,BJP,1588,18,1606,252311,207476
59,Dharmapuri,RUKMANIDEVI. R.,F,28,GEN,NTK,1198,15,1213,252311,207476
59,Dharmapuri,VIJAYASARATHI. N.DR.,M,39,GEN,IND,809,3,812,252311,207476
59,Dharmapuri,MADHAIYAN. K.,M,46,GEN,KMDK,570,0,570,252311,207476
59,Dharmapuri,SREENIVASAN.R.K.,M,53,GEN,YSP,525,0,525,252311,207476
59,Dharmapuri,MOHAN S,M,64,GEN,BSP,495,0,495,252311,207476
59,Dharmapuri,RAGUPATHI. N.,M,27,GEN,GMI,472,1,473,252311,207476
59,Dharmapuri,ILANGOVAN. V.,M,32,GEN,IND,326,0,326,252311,207476
59,Dharmapuri,RADHA.P.,F,30,GEN,NCP,297,0,297,252311,207476
59,Dharmapuri,SIVAN. K.,M,44,GEN,UCPI,257,1,258,252311,207476
59,Dharmapuri,GOVINDARAJU. S.,M,39,GEN,TMK,139,0,139,252311,207476
60,Pappireddippatti,PALANIYAPPAN. P,M,54,GEN,ADMK,73598,636,74234,243367,208754
60,Pappireddippatti,SATHIYAMOORTHY. A,M,42,GEN,PMK,61092,429,61521,243367,208754
60,Pappireddippatti,PRABHU RAJASEKAR. M,M,32,GEN,DMK,55193,916,56109,243367,208754
60,Pappireddippatti,BASKAR . A,M,49,GEN,DMDK,9320,121,9441,243367,208754
60,Pappireddippatti,ASHOKAN. G,M,40,GEN,KMDK,1745,15,1760,243367,208754
60,Pappireddippatti,None of the Above,,,,NOTA,1454,13,1467,243367,208754
60,Pappireddippatti,GOPI. K,M,41,SC,BSP,824,3,827,243367,208754
60,Pappireddippatti,RAJALINGAM. A,M,47,GEN,IND,818,0,818,243367,208754
60,Pappireddippatti,RAJKUMAR. V,M,30,GEN,IND,769,2,771,243367,208754
60,Pappireddippatti,MOOVENDAN. M,M,38,SC,NTK,582,6,588,243367,208754
60,Pappireddippatti,SARAVANAN. K,M,41,SC,YSP,293,0,293,243367,208754
60,Pappireddippatti,MUNIRAJ. M,M,29,GEN,IND,287,0,287,243367,208754
60,Pappireddippatti,SUNDARAMOORTHY. M,M,36,GEN,IJK,269,1,270,243367,208754
60,Pappireddippatti,RAGU. V,M,48,GEN,IND,203,1,204,243367,208754
60,Pappireddippatti,DHANAPAL. R,M,45,GEN,SP,164,0,164,243367,208754
61,Harur,R.MURUGAN,M,51,SC,ADMK,64210,358,64568,225545,190134
61,Harur,S.RAJENDRAN,M,56,SC,DMK,52421,726,53147,225545,190134
61,Harur,K.GOVINDHASAMY,M,46,SC,VCK,32956,676,33632,225545,190134
61,Harur,S.MURALI,M,26,SC,PMK,27621,126,27747,225545,190134
61,Harur,K.SURULIRAJAN,M,35,SC,KMDK,3460,40,3500,225545,190134
61,Harur,None of the Above,,,,NOTA,2078,14,2092,225545,190134
61,Harur,P.VEDIYAPPAN,M,61,SC,BJP,1942,6,1948,225545,190134
61,Harur,A.KARTHIK,M,30,SC,BSP,761,1,762,225545,190134
61,Harur,K.RAMESH,M,31,SC,NTK,621,6,627,225545,190134
61,Harur,S.AGILA,F,33,SC,IND,558,0,558,225545,190134
61,Harur,R.GOVINDAN,M,48,SC,IND,510,0,510,225545,190134
61,Harur,K.RAJENDIRAN,M,52,SC,IND,433,0,433,225545,190134
61,Harur,M.GOVINDASAMY,M,49,SC,IND,317,0,317,225545,190134
61,Harur,S.KUMAR,M,45,SC,IND,293,0,293,225545,190134
62,Chengam,GIRI .M.P,M,41,SC,DMK,95212,727,95939,250015,210403
62,Chengam,DINAGARAN. M,M,51,SC,ADMK,83066,182,83248,250015,210403
62,Chengam,MURUGAN. C,M,45,SC,PMK,15033,81,15114,250015,210403
62,Chengam,KALAIARASI .A,F,46,SC,DMDK,7949,58,8007,250015,210403
62,Chengam,None of the Above,,,,NOTA,1402,1,1403,250015,210403
62,Chengam,DHINAKARAN. S,M,29,SC,IND,1255,0,1255,250015,210403
62,Chengam,DHINAKARAN. H,M,31,SC,IND,1151,0,1151,250015,210403
62,Chengam,BASKARAN. M.R,M,51,SC,BSP,947,1,948,250015,210403
62,Chengam,KARUPPAN. V,M,51,SC,BJP,881,3,884,250015,210403
62,Chengam,VENNILA.S,F,30,SC,NTK,665,1,666,250015,210403
62,Chengam,MURUGAN. R,M,37,SC,IND,425,0,425,250015,210403
62,Chengam,SUGUMAR. S,M,41,SC,IND,413,0,413,250015,210403
62,Chengam,PANDU. M,M,59,SC,GMI,313,0,313,250015,210403
62,Chengam,KASI. G,M,43,SC,IND,235,0,235,250015,210403
62,Chengam,ANBALAGAN. S,M,44,SC,VVIP,209,0,209,250015,210403
62,Chengam,KRISHNAVENI.P,F,42,SC,SP,193,0,193,250015,210403
63,Tiruvannamalai,"VELU,E.V.",M,66,GEN,DMK,114657,1827,116484,255195,203825
63,Tiruvannamalai,"RAJAN,K",M,54,GEN,ADMK,65519,617,66136,255195,203825
63,Tiruvannamalai,"PANDIAN,L",M,44,GEN,PMK,7811,105,7916,255195,203825
63,Tiruvannamalai,"MANIKANDAN,S",M,36,GEN,DMDK,5045,30,5075,255195,203825
63,Tiruvannamalai,VENKATACHALAPATHI,M,27,GEN,BJP,1929,6,1935,255195,203825
63,Tiruvannamalai,None of the Above,,,,NOTA,1798,5,1803,255195,203825
63,Tiruvannamalai,"KAMALAKKANNAN,J",M,33,GEN,NTK,1680,6,1686,255195,203825
63,Tiruvannamalai,"JAMEEL BASHA,J",M,37,GEN,IND,506,1,507,255195,203825
63,Tiruvannamalai,"RAJAN,K",M,26,SC,IND,362,0,362,255195,203825
63,Tiruvannamalai,"SUGUNA PANDIAN,A.R.",M,72,GEN,IND,302,1,303,255195,203825
63,Tiruvannamalai,"SIVAPRAKASH,K",M,37,SC,BSP,268,0,268,255195,203825
63,Tiruvannamalai,"LAKSHMANADOSS,K",M,50,GEN,IND,181,0,181,255195,203825
63,Tiruvannamalai,"KOTHANDAPANI,B",M,38,SC,IND,173,0,173,255195,203825
63,Tiruvannamalai,"RAJARAM,G",M,35,GEN,GOKMK,155,0,155,255195,203825
63,Tiruvannamalai,"SHANTHI,E",F,36,GEN,IND,150,1,151,255195,203825
63,Tiruvannamalai,"JAYAKANTHAN,K",M,39,GEN,GMI,126,1,127,255195,203825
63,Tiruvannamalai,"SELVAM,K",M,46,GEN,IND,126,1,127,255195,203825
63,Tiruvannamalai,"SINUVASAN,R",M,33,GEN,IND,94,0,94,255195,203825
63,Tiruvannamalai,"SAKTHIVEL,P",M,48,GEN,IND,90,0,90,255195,203825
63,Tiruvannamalai,"VENKATESAN,A",M,51,GEN,SP,88,1,89,255195,203825
63,Tiruvannamalai,"MUNIYAMMAL,J",F,39,ST,IND,87,0,87,255195,203825
63,Tiruvannamalai,"GANESHKUMAR,M",M,32,GEN,IND,76,0,76,255195,203825
64,Kilpennathur,PITCHANDI K,M,62,GEN,DMK,98413,657,99070,233605,197287
64,Kilpennathur,SELVAMANI K,M,54,GEN,ADMK,64137,267,64404,233605,197287
64,Kilpennathur,EDIROLIMANIAN G,M,53,GEN,PMK,20632,105,20737,233605,197287
64,Kilpennathur,JOTHI K,M,56,GEN,CPI,4598,15,4613,233605,197287
64,Kilpennathur,DEVENDIRAN S,M,43,SC,BSP,1273,0,1273,233605,197287
64,Kilpennathur,SUBBARAYAN M,M,50,GEN,BJP,1206,3,1209,233605,197287
64,Kilpennathur,None of the Above,,,,NOTA,1161,3,1164,233605,197287
64,Kilpennathur,RAJANGAM M,M,67,GEN,IND,798,0,798,233605,197287
64,Kilpennathur,RAMESHBABU R,M,39,GEN,NTK,771,5,776,233605,197287
64,Kilpennathur,PADAVETTAN M,M,47,ST,IND,587,0,587,233605,197287
64,Kilpennathur,DURAIRAJ A,M,41,GEN,IND,460,0,460,233605,197287
64,Kilpennathur,SAMIKKANNU P,M,41,SC,IND,424,0,424,233605,197287
64,Kilpennathur,MURUGAN M,M,42,GEN,IND,410,0,410,233605,197287
64,Kilpennathur,SAMPATHRAJ M,M,35,GEN,IND,298,0,298,233605,197287
64,Kilpennathur,ELUMALAI A R,M,49,GEN,IND,286,0,286,233605,197287
64,Kilpennathur,SUGUNA PANDIAN A R,M,72,GEN,IND,252,0,252,233605,197287
64,Kilpennathur,KANAGAVALLI A,F,41,GEN,GOKMK,233,0,233,233605,197287
64,Kilpennathur,SASIKUMAR S,M,41,GEN,IND,167,0,167,233605,197287
64,Kilpennathur,SAMPATH P,M,40,GEN,SP,126,0,126,233605,197287
65,Kalasapakkam,PANNEERSELVAM V,M,43,GEN,ADMK,84210,184,84394,219301,185859
65,Kalasapakkam,KUMAR G,M,48,GEN,INC,57452,528,57980,219301,185859
65,Kalasapakkam,KALIDASS R,M,53,GEN,PMK,23699,126,23825,219301,185859
65,Kalasapakkam,NEHRU M,M,52,GEN,DMDK,9901,31,9932,219301,185859
65,Kalasapakkam,None of the Above,,,,NOTA,1505,5,1510,219301,185859
65,Kalasapakkam,RAJAPRABU P,M,31,SC,IND,1387,0,1387,219301,185859
65,Kalasapakkam,RAJKUMAR E,M,39,SC,IND,1047,0,1047,219301,185859
65,Kalasapakkam,PANNEERSELVAM V,M,44,GEN,IND,840,0,840,219301,185859
65,Kalasapakkam,BALAJI .E,M,30,GEN,NTK,766,10,776,219301,185859
65,Kalasapakkam,MURUGAN M,M,40,GEN,IND,730,0,730,219301,185859
65,Kalasapakkam,SAKTHIVEL S,M,31,GEN,BSP,722,1,723,219301,185859
65,Kalasapakkam,MURUGADASS K,M,45,GEN,IJK,518,2,520,219301,185859
65,Kalasapakkam,PANNEERSELVAM V,M,35,GEN,IND,487,0,487,219301,185859
65,Kalasapakkam,GUNASEKARAN M,M,43,SC,IND,345,0,345,219301,185859
65,Kalasapakkam,PANNEERSELVAM B,M,33,SC,IND,336,0,336,219301,185859
65,Kalasapakkam,KUMAR S,M,45,GEN,IND,283,0,283,219301,185859
65,Kalasapakkam,PRADEESHKUMAR R,M,35,GEN,SP,271,0,271,219301,185859
65,Kalasapakkam,PALANI N,M,49,GEN,IND,242,0,242,219301,185859
65,Kalasapakkam,LAKSHMANAN K,M,41,GEN,IND,231,0,231,219301,185859
66,Polur,SEKARAN.K.V,M,58,GEN,DMK,65610,978,66588,227936,195714
66,Polur,MURUGAN.M,M,43,GEN,ADMK,58156,159,58315,227936,195714
66,Polur,ELUMALAI.C,M,62,GEN,IND,38614,247,38861,227936,195714
66,Polur,VELAYUTHAM.A,M,47,GEN,PMK,16976,208,17184,227936,195714
66,Polur,SELVAN.P,M,43,SC,CPM,4950,50,5000,227936,195714
66,Polur,DHASHANAMOORTHY.A,M,61,GEN,IND,1857,1,1858,227936,195714
66,Polur,TAMILARASI.D,F,52,GEN,BJP,1227,5,1232,227936,195714
66,Polur,None of the Above,,,,NOTA,1223,7,1230,227936,195714
66,Polur,VELAUTHAM.M,M,43,GEN,IND,847,0,847,227936,195714
66,Polur,KANDAN.P,M,34,GEN,NTK,621,3,624,227936,195714
66,Polur,DURAIRAJ.M,M,56,SC,IND,612,0,612,227936,195714
66,Polur,ELUMALAI.A,M,26,GEN,IND,580,1,581,227936,195714
66,Polur,RAMACHANDIRAN.M,M,32,GEN,GOKMK,572,1,573,227936,195714
66,Polur,DEVADASS.M,M,47,SC,BSP,569,2,571,227936,195714
66,Polur,ELUMALAI.C,M,32,GEN,IND,489,1,490,227936,195714
66,Polur,VIJAYAKUMAR.B,M,27,SC,RPI,424,0,424,227936,195714
66,Polur,MURUGAN.M,M,30,GEN,IND,289,0,289,227936,195714
66,Polur,VIJAYAN.D,M,36,GEN,VVIP,233,2,235,227936,195714
66,Polur,SUGUNA.A,F,44,GEN,SP,200,0,200,227936,195714
67,Arani,"RAMACHANDRAN, S",M,58,GEN,ADMK,93861,213,94074,256327,209545
67,Arani,"BABU, S",M,27,GEN,DMK,85929,818,86747,256327,209545
67,Arani,"RAJASEKAR, S",M,38,GEN,PMK,12791,86,12877,256327,209545
67,Arani,"BABU MURUGAVEL, R.M",M,40,GEN,DMDK,6988,37,7025,256327,209545
67,Arani,None of the Above,,,,NOTA,1742,7,1749,256327,209545
67,Arani,"GOPI, P",M,42,GEN,BJP,1298,6,1304,256327,209545
67,Arani,"MOHANRAJ, J",M,39,GEN,NTK,869,3,872,256327,209545
67,Arani,"RAMACHANDRAN, S",M,32,GEN,IND,704,0,704,256327,209545
67,Arani,"SEKAR, K",M,50,GEN,GOKMK,606,1,607,256327,209545
67,Arani,"VENKATESAN, S",M,34,GEN,IND,539,0,539,256327,209545
67,Arani,"SUMATHI, S",F,38,GEN,IND,453,0,453,256327,209545
67,Arani,"GANESAN, A",M,55,SC,BSP,413,0,413,256327,209545
67,Arani,"PALANI, P",M,50,GEN,IND,371,2,373,256327,209545
67,Arani,"SAKTHIVEL , S",M,27,GEN,IND,353,1,354,256327,209545
67,Arani,"ASHOKKUMAR, A",M,34,GEN,IND,272,0,272,256327,209545
67,Arani,"BABU, S",M,45,GEN,IND,180,0,180,256327,209545
67,Arani,"RAMACHANDRAN, V",M,62,GEN,IND,163,0,163,256327,209545
67,Arani,"SASI, P",F,45,GEN,IND,159,0,159,256327,209545
67,Arani,"EKAMBARAM, V",M,38,GEN,IND,151,0,151,256327,209545
67,Arani,"JANAKIRAMAN, M",M,38,GEN,SP,147,0,147,256327,209545
67,Arani,"JAYACHANDRAN, S",M,39,GEN,IND,145,0,145,256327,209545
67,Arani,"MANI, D",M,62,GEN,SASP,127,0,127,256327,209545
67,Arani,"VELU, P",M,37,GEN,VVIP,110,0,110,256327,209545
