STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Uttar Pradesh,4,Saharanpur,13 VAHID ALI KHAN,MALE,32,GENERAL,LGP,BOX,126,0,126,0.05,359546
Uttar Pradesh,4,Saharanpur,14 PINKI KUMARI,FEMALE,30,SC,IND,Plastering Trowel,84,0,84,0.03,359546
Uttar Pradesh,4,Saharanpur,15 MEWA LAL,MALE,54,SC,BDPty,BUCKET,78,0,78,0.03,359546
TURN OUT,,,,,,TOTAL:,,,258955,900,259855,72.27,
Uttar Pradesh,5,Deoband,1 BRIJESH,MALE,57,GENERAL,BJP,Lotus,93478,412,93890,38.77,348944
Uttar Pradesh,5,Deoband,2 Kartikey Rana,MALE,29,GENERAL,SP,Bicycle,86511,275,86786,35.83,348944
Uttar Pradesh,5,Deoband,3 CHOUDHARY RAJENDRA SINGH,MALE,62,GENERAL,BSP,Elephant,52526,206,52732,21.77,348944
Uttar Pradesh,5,Deoband,4 UMAIR MADANI,MALE,26,GENERAL,AIMIM,Kite,3500,1,3501,1.45,348944
Uttar Pradesh,5,Deoband,5 YOGESH PRATAP SINGH,MALE,40,GENERAL,ASPKR,Kettle,1844,4,1848,0.76,348944
Uttar Pradesh,5,Deoband,6 RAHAT KHALIL,MALE,58,GENERAL,INC,Hand,1095,1,1096,0.45,348944
Uttar Pradesh,5,Deoband,7 NOTA,,,,NOTA,NOTA,727,2,729,0.3,348944
Uttar Pradesh,5,Deoband,8 VIJENDRA,MALE,60,GENERAL,IND,Camera,616,0,616,0.25,348944
Uttar Pradesh,5,Deoband,9 NAUSHAD,MALE,35,GENERAL,SANVP,Helmet,488,0,488,0.2,348944
Uttar Pradesh,5,Deoband,10 JAHEER,MALE,50,GENERAL,JSP,Sewing Machine,264,0,264,0.11,348944
Uttar Pradesh,5,Deoband,11 PRAVEEN KUMAR DHIMAN,MALE,43,GENERAL,AAAP,Broom,241,2,243,0.1,348944
TURN OUT,,,,,,TOTAL:,,,241290,903,242193,69.41,
Uttar Pradesh,6,Rampur Maniharan,1 Devender Kumar Nim,MALE,52,SC,BJP,Lotus,88653,456,89109,38.37,323830
Uttar Pradesh,6,Rampur Maniharan,2 RAVINDRA KUMAR,MALE,52,SC,BSP,Elephant,68227,289,68516,29.5,323830
Uttar Pradesh,6,Rampur Maniharan,3 VIVEK KANT,MALE,43,SC,RLD,Hand Pump,64710,154,64864,27.93,323830
Uttar Pradesh,6,Rampur Maniharan,4 BRIJPAL SINGH,MALE,68,SC,ASPKR,Kettle,4597,9,4606,1.98,323830
Uttar Pradesh,6,Rampur Maniharan,5 OMPAL SINGH,MALE,72,SC,INC,Hand,1539,5,1544,0.66,323830
Uttar Pradesh,6,Rampur Maniharan,6 D. P. SINGH,MALE,60,SC,BMUP,Cot,1173,1,1174,0.51,323830
Uttar Pradesh,6,Rampur Maniharan,7 SACHIN KUMAR,MALE,29,SC,INJSP,Truck,928,1,929,0.4,323830
Uttar Pradesh,6,Rampur Maniharan,8 NOTA,,,,NOTA,NOTA,669,1,670,0.29,323830
Uttar Pradesh,6,Rampur Maniharan,9 ARVIND KUMAR,MALE,34,SC,AAAP,Broom,567,6,573,0.25,323830
Uttar Pradesh,6,Rampur Maniharan,10 JAI PAL SINGH,MALE,42,SC,LD,Almirah,248,0,248,0.11,323830
TURN OUT,,,,,,TOTAL:,,,231311,922,232233,71.71,
Uttar Pradesh,7,Gangoh,1 KIRAT SINGH,MALE,55,GENERAL,BJP,Lotus,116052,530,116582,43.08,386148
Uttar Pradesh,7,Gangoh,2 INDER SAIN,MALE,56,GENERAL,SP,Bicycle,92860,273,93133,34.42,386148
Uttar Pradesh,7,Gangoh,3 NOMAN MASOOD,MALE,53,GENERAL,BSP,Elephant,54937,141,55078,20.35,386148
Uttar Pradesh,7,Gangoh,4 MAUSAM ALI RANA,MALE,40,GENERAL,ASPKR,Kettle,2615,2,2617,0.97,386148
Uttar Pradesh,7,Gangoh,5 ASHOK KUMAR SAINI,MALE,48,GENERAL,INC,Hand,1922,14,1936,0.72,386148
Uttar Pradesh,7,Gangoh,6 NOTA,,,,NOTA,NOTA,604,0,604,0.22,386148
Uttar Pradesh,7,Gangoh,7 VAKAR AZHAR,MALE,26,GENERAL,BMUP,Cot,364,0,364,0.13,386148
