STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Kerala,23,QUILANDY,4 Jameela. P.P.,FEMALE,48,GENERAL,IND,Boat with Man and Sail,646,5,651,0.4,206652
Kerala,23,QUILANDY,5 NOTA,,,,NOTA,NOTA,482,10,492,0.3,206652
Kerala,23,QUILANDY,6 Subrahmanyan Kanaran,MALE,43,GENERAL,IND,Glass Tumbler,380,1,381,0.24,206652
Kerala,23,QUILANDY,7 Praveen Cheruvath,MALE,52,GENERAL,SUCI,Battery torch,221,0,221,0.14,206652
TURN OUT,,,,,,TOTAL:,,,158155,3929,162084,78.43,
Kerala,24,PERAMBRA,1 T.P. RAMAKRISHNAN,MALE,71,GENERAL,CPI(M),"Hammer, Sickle and Star",82691,3332,86023,52.54,198218
Kerala,24,PERAMBRA,2 C H EBRAHIMKUTTY S/O KUNJAMMED,MALE,56,GENERAL,IND,Auto- Rickshaw,61530,1901,63431,38.74,198218
Kerala,24,PERAMBRA,3 ADV. K V SUDHEER,MALE,47,GENERAL,BJP,Lotus,10834,331,11165,6.82,198218
Kerala,24,PERAMBRA,4 ISMAIL KAMMANA,MALE,50,GENERAL,SDPI,Scissors,1441,24,1465,0.89,198218
Kerala,24,PERAMBRA,5 IBRAHIMKUTTY M S/O POKKER,MALE,76,GENERAL,IND,Camera,900,15,915,0.56,198218
Kerala,24,PERAMBRA,6 NOTA,,,,NOTA,NOTA,449,9,458,0.28,198218
Kerala,24,PERAMBRA,7 V K CHANDRAN,MALE,51,GENERAL,IND,Tractor Chalata Kisan,275,5,280,0.17,198218
TURN OUT,,,,,,TOTAL:,,,158120,5617,163737,82.6,
Kerala,25,BALUSSERI,1 Adv. K.M. SACHINDEV,MALE,27,SC,CPI(M),"Hammer, Sickle and Star",88612,3227,91839,50.47,225249
Kerala,25,BALUSSERI,2 DHARMAJAN BOLGATTY,MALE,45,SC,INC,Hand,69145,2322,71467,39.28,225249
Kerala,25,BALUSSERI,3 LIBIN BALUSSERY,MALE,29,SC,BJP,Lotus,16033,457,16490,9.06,225249
Kerala,25,BALUSSERI,4 CHANDRIKA,FEMALE,47,SC,WPOI,Gas Cylinder,856,33,889,0.49,225249
Kerala,25,BALUSSERI,5 JOBISH BALUSSERY,MALE,32,SC,BSP,Elephant,465,11,476,0.26,225249
Kerala,25,BALUSSERI,6 NOTA,,,,NOTA,NOTA,397,34,431,0.24,225249
Kerala,25,BALUSSERI,7 DHARMENDRAN,MALE,43,SC,IND,Glass Tumbler,235,12,247,0.14,225249
