STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Karnataka,23,Badami,1 B.b.chimmanakatti,MALE,39,GENERAL,INC,Hand,65203,642,65845,38.95,220435
Karnataka,23,Badami,2 Shanthagouda Thirthgouda Patil.,MALE,52,GENERAL,BJP,Lotus,55196,924,56120,33.2,220435
Karnataka,23,Badami,3 Hanamant. B. Mavinamarad,MALE,43,GENERAL,JD(S),A lady farmer carrying paddy on her head,41273,299,41572,24.59,220435
Karnataka,23,Badami,4 Jogin. Shivarayappa . Doddakariyappa .,MALE,64,GENERAL,AAAP,Broom,1642,8,1650,0.98,220435
Karnataka,23,Badami,5 Nota,,,,NOTA,NOTA,1476,3,1479,0.87,220435
Karnataka,23,Badami,6 Bhimappa. Fakeerappa. Talawar,MALE,65,GENERAL,IND,Ganna kisan,989,0,989,0.59,220435
Karnataka,23,Badami,7 Anand Laxman Waddar,MALE,28,SC,KRS,Battery torch,781,1,782,0.46,220435
Karnataka,23,Badami,8 Katannavar. Hanamappa Manappa,MALE,46,ST,IND,Truck,601,0,601,0.36,220435
TURN OUT,,,,,,TOTAL:,,,167161,1877,169038,76.68,
Karnataka,24,Bagalkot,1 Meti. Hullappa. Yamanappa,MALE,77,GENERAL,INC,Hand,78494,842,79336,46.57,245532
Karnataka,24,Bagalkot,2 Veerabhadrayya (veeranna) Charantimath,MALE,59,GENERAL,BJP,Lotus,72157,1301,73458,43.12,245532
Karnataka,24,Bagalkot,3 Charantimath. Mallikarjun. Chandrashekharayya.,MALE,51,GENERAL,IND,Auto- rickshaw,10045,71,10116,5.94,245532
Karnataka,24,Bagalkot,4 Devaraj H. Patil,MALE,52,GENERAL,JD(S),A lady farmer carrying paddy on her head,3371,99,3470,2.04,245532
Karnataka,24,Bagalkot,5 Nota,,,,NOTA,NOTA,1227,9,1236,0.73,245532
Karnataka,24,Bagalkot,6 Ramesh R Badnur,MALE,43,GENERAL,AAAP,Broom,999,8,1007,0.59,245532
Karnataka,24,Bagalkot,7 M.s.hiremath,MALE,38,GENERAL,IND,Petrol pump,479,1,480,0.28,245532
Karnataka,24,Bagalkot,8 Prakash. Saranayak.,MALE,38,SC,KJP,Coconut farm,366,0,366,0.21,245532
Karnataka,24,Bagalkot,9 Prashant. Sharanappa. Rao,MALE,43,SC,IND,Helicopter,346,1,347,0.2,245532
Karnataka,24,Bagalkot,10 Nagaraj.s. Kallakuttagar,MALE,43,GENERAL,IND,Chappals,234,1,235,0.14,245532
Karnataka,24,Bagalkot,11 R.d.babu,MALE,49,GENERAL,KRS,Battery torch,181,3,184,0.11,245532
Karnataka,24,Bagalkot,12 Muttappa. Mudakappa Hirekumbi,MALE,50,GENERAL,RTBHP,Tiller,134,1,135,0.08,245532
TURN OUT,,,,,,TOTAL:,,,168033,2337,170370,69.39,
Karnataka,25,Hungund,1 Kashappanavara Vijayanand Shivashankrappa,MALE,51,GENERAL,INC,Hand,77383,1051,78434,47.43,222676
Karnataka,25,Hungund,2 Doddanagouda G Patil,MALE,66,GENERAL,BJP,Lotus,47683,744,48427,29.29,222676
Karnataka,25,Hungund,3 Navali Hiremath. S. R.,MALE,62,GENERAL,KRPP,Football,33517,273,33790,20.43,222676
Karnataka,25,Hungund,4 Nota,,,,NOTA,NOTA,1050,3,1053,0.64,222676
Karnataka,25,Hungund,5 Shivanagouda Menasagi,MALE,45,GENERAL,IND,Batsman,793,0,793,0.48,222676
Karnataka,25,Hungund,6 Boli Shivappa Mahadevappa,MALE,43,GENERAL,JD(S),A lady farmer carrying paddy on her head,757,2,759,0.46,222676
Karnataka,25,Hungund,7 Nagaraj Hongal,MALE,56,GENERAL,AAAP,Broom,509,5,514,0.31,222676
Karnataka,25,Hungund,8 Akki Charalingappa Kotrappa,MALE,50,GENERAL,IND,Stool,384,0,384,0.23,222676
Karnataka,25,Hungund,9 Basanagouda Hanamagouda Hiregoudar,MALE,46,ST,IND,Ring,319,1,320,0.19,222676
Karnataka,25,Hungund,10 Siddappa. Ningappa. Tudubinal,MALE,60,GENERAL,IND,Pressure cooker,313,1,314,0.19,222676
Karnataka,25,Hungund,11 Desayagouda. Mallanagouda. Goudar,MALE,34,GENERAL,KRS,Battery torch,302,0,302,0.18,222676
Karnataka,25,Hungund,12 Malappa Sabanna Ramawadagi,MALE,29,GENERAL,IND,Computer,270,1,271,0.16,222676
TURN OUT,,,,,,TOTAL:,,,163280,2081,165361,74.26,
Karnataka,26,Muddebihal,1 Appaji. Aliyas. Channabasavaraj. S/o Shankarao. Nadagouda.,MALE,65,GENERAL,INC,Hand,78598,885,79483,51.27,217281
Karnataka,26,Muddebihal,2 A. S. Patil (nadahalli),MALE,53,GENERAL,BJP,Lotus,70754,1092,71846,46.35,217281
Karnataka,26,Muddebihal,3 Nota,,,,NOTA,NOTA,1231,3,1234,0.8,217281
Karnataka,26,Muddebihal,4 K. B. Dodamani Vakeelaru,MALE,40,SC,BSP,Elephant,723,2,725,0.47,217281
Karnataka,26,Muddebihal,5 Ramanagouda S Balawad,MALE,43,GENERAL,RJBP,Cauliflower,588,0,588,0.38,217281
Karnataka,26,Muddebihal,6 Basavaraj Bhimanna Bhajentri,MALE,29,GENERAL,JD(S),A lady farmer carrying paddy on her head,525,8,533,0.34,217281
Karnataka,26,Muddebihal,7 Deepa Mahantappa Manur,FEMALE,31,GENERAL,KRS,Battery torch,233,1,234,0.15,217281
Karnataka,26,Muddebihal,8 Mahboob. Shabbirahmed Hadalageri.,MALE,29,GENERAL,AAAP,Broom,230,1,231,0.15,217281
Karnataka,26,Muddebihal,9 Jakeer Husen. Usmansab Lahori,MALE,48,GENERAL,BHRTPRJAIK,Gas cylinder,146,1,147,0.09,217281
TURN OUT,,,,,,TOTAL:,,,153028,1993,155021,71.35,
Karnataka,27,Devar Hippargi,1 Bhimanagouda (rajugouda) Basanagouda Patil,MALE,51,GENERAL,JD(S),A lady farmer carrying paddy on her head,65271,681,65952,43.39,219228
Karnataka,27,Devar Hippargi,2 Somanagouda B. Patil (sasanur),MALE,59,GENERAL,BJP,Lotus,45272,505,45777,30.12,219228
Karnataka,27,Devar Hippargi,3 Sunagar Sharanappa Tippanna,MALE,62,GENERAL,INC,Hand,33431,242,33673,22.16,219228
Karnataka,27,Devar Hippargi,4 Basalingappa Urf Basalingappagouda S/o Basavantaray Ingalagi,MALE,45,GENERAL,AAAP,Broom,1787,0,1787,1.18,219228
Karnataka,27,Devar Hippargi,5 Bhimanagouda Basanagouda Patil,MALE,59,GENERAL,IND,Ganna kisan,1041,3,1044,0.69,219228
Karnataka,27,Devar Hippargi,6 Raju Madar (gubbewad),MALE,46,SC,BSP,Elephant,778,1,779,0.51,219228
Karnataka,27,Devar Hippargi,7 Shrishail Rudrappa Kakkalameli,MALE,29,GENERAL,IND,Bat,779,0,779,0.51,219228
Karnataka,27,Devar Hippargi,8 Nota,,,,NOTA,NOTA,694,1,695,0.46,219228
Karnataka,27,Devar Hippargi,9 Gurushantaveeraswamiji Hiremath Itagi,MALE,35,GENERAL,KJSP,Man blowing turha,438,1,439,0.29,219228
Karnataka,27,Devar Hippargi,10 Kempegouda Iranagouda Keshappagol,MALE,35,GENERAL,IND,Football,294,3,297,0.2,219228
Karnataka,27,Devar Hippargi,11 Dundasi. Abdulrahiman. Mahammadahanip.,MALE,54,GENERAL,IND,Auto- rickshaw,216,2,218,0.14,219228
Karnataka,27,Devar Hippargi,12 Bevinakatti. Gaibappa. Bhimappa.,MALE,34,SC,RPIB,Pen nib with seven rays,216,0,216,0.14,219228
Karnataka,27,Devar Hippargi,13 Shivanand Yadahalli (kondaguli),MALE,36,GENERAL,KRS,Battery torch,196,2,198,0.13,219228
Karnataka,27,Devar Hippargi,14 Manasoorbab Nabisaheb Bilagi,MALE,61,GENERAL,NCP,Clock,129,0,129,0.08,219228
TURN OUT,,,,,,TOTAL:,,,150542,1441,151983,69.33,
Karnataka,28,Basavana Bagevadi,1 Shivanand Patil,MALE,61,GENERAL,INC,Hand,67581,545,68126,43,210088
Karnataka,28,Basavana Bagevadi,2 Bellubbi Sangappa Kallappa,MALE,68,GENERAL,BJP,Lotus,42698,565,43263,27.3,210088
Karnataka,28,Basavana Bagevadi,3 Appugouda. Urf Somanagouda. Basanagouda Patil,MALE,62,GENERAL,JD(S),A lady farmer carrying paddy on her head,39826,371,40197,25.37,210088
Karnataka,28,Basavana Bagevadi,4 Allahbaksh Bijapur,MALE,45,GENERAL,AIMIM,Kite,1472,3,1475,0.93,210088
Karnataka,28,Basavana Bagevadi,5 Laxmimbai S.g. Patil,FEMALE,60,GENERAL,IND,Nagrik,1048,2,1050,0.66,210088
Karnataka,28,Basavana Bagevadi,6 Nota,,,,NOTA,NOTA,834,4,838,0.53,210088
Karnataka,28,Basavana Bagevadi,7 Gurubasappa. Basappa. Dhavalagi,MALE,65,SC,BSP,Elephant,774,0,774,0.49,210088
Karnataka,28,Basavana Bagevadi,8 Sangappa Chandu Lamani,MALE,71,SC,IND,Kettle,746,1,747,0.47,210088
Karnataka,28,Basavana Bagevadi,9 Rajeshwari Rajashekhar Yaranal,FEMALE,48,GENERAL,IND,Grapes,744,2,746,0.47,210088
Karnataka,28,Basavana Bagevadi,10 Awati Shankreppa Kashinath,MALE,41,GENERAL,UPJP,Auto- rickshaw,354,5,359,0.23,210088
