STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Gujarat,5,Gandhidham (SC),7 Sondarva Jignasha Maheshbhai,FEMALE,29,SC,IND,Pen nib with seven rays,787,6,793,0.52,315306
Gujarat,5,Gandhidham (SC),8 Samirbhai Jumabhai Maheshwari,MALE,46,SC,IND,Mike,558,1,559,0.37,315306
Gujarat,5,Gandhidham (SC),9 Arvind Ashok Sanghela,MALE,38,SC,GSSP,Sewing machine,428,1,429,0.28,315306
Gujarat,5,Gandhidham (SC),10 Maheshwari Vanita Dahyalal,FEMALE,42,SC,SANVP,Helmet,285,0,285,0.19,315306
TURN OUT,,,,,,TOTAL:,,,150881,784,151665,48.1,
Gujarat,6,Rapar,1 Virendrasinh Bahadursinh Jadeja,MALE,55,GENERAL,BJP,Lotus,66589,372,66961,46.17,247657
Gujarat,6,Rapar,2 Bhachubhai Dharamshi Aarethiya,MALE,55,GENERAL,INC,Hand,66106,278,66384,45.77,247657
Gujarat,6,Rapar,3 Nota,,,,NOTA,NOTA,3938,4,3942,2.72,247657
Gujarat,6,Rapar,4 Amba Paravant Patel,MALE,62,GENERAL,AAAP,Broom,2387,47,2434,1.68,247657
Gujarat,6,Rapar,5 Saiyad Hasamsha Umarsha,MALE,39,GENERAL,IND,Pot,1731,1,1732,1.19,247657
Gujarat,6,Rapar,6 Vaniya Tejabhai Gelabhai,MALE,46,SC,IND,Helmet,939,2,941,0.65,247657
Gujarat,6,Rapar,7 Rathod Ambabhai Mayajar,MALE,47,SC,IND,Camera,694,3,697,0.48,247657
Gujarat,6,Rapar,8 Mansukh Vajeram Makvana,MALE,40,GENERAL,GSSP,Sewing machine,588,1,589,0.41,247657
Gujarat,6,Rapar,9 Rajeshbhai Babubhai Dudasna,MALE,27,GENERAL,IND,Cup & saucer,489,6,495,0.34,247657
Gujarat,6,Rapar,10 Rameshbhai Punjabhai Patani,MALE,40,GENERAL,IND,Football,350,4,354,0.24,247657
Gujarat,6,Rapar,11 Goshwami Sanjaygiri Rameshgiri,MALE,30,GENERAL,IND,Scissors,278,1,279,0.19,247657
Gujarat,6,Rapar,12 Navinchandra Manji Josarfal,MALE,43,GENERAL,IND,Chimney,225,1,226,0.16,247657
TURN OUT,,,,,,TOTAL:,,,144314,720,145034,58.56,
Gujarat,7,Vav,1 Thakor Geniben Nagaji,FEMALE,46,GENERAL,INC,Hand,101782,731,102513,45.26,302189
Gujarat,7,Vav,2 Thakor Swarupji Sardarji,MALE,43,GENERAL,BJP,Lotus,86224,688,86912,38.37,302189
Gujarat,7,Vav,3 Amirambhai Shankarlal Ashal,MALE,47,GENERAL,IND,Gas cylinder,27088,258,27346,12.07,302189
Gujarat,7,Vav,4 Nota,,,,NOTA,NOTA,3994,3,3997,1.76,302189
